Date,Bat,Species,Sex,Band,Mass In (g),Mass Out (g),Ta (C),Ta Probe (C),Flow (mL/min),FiO2,FeO2,VO2 (mL/min),VO2 (mL/h),VO2 (mL/h/g)
27-Oct-16,2,MYCA,,UR0097,5,4.8,0,0,50,0.2095,0.2094514,0.00251,0.15053,0.03136
,,,,,,,,,,,,,,
27-Oct-16,3,MYCA,,UR0091,4.9,4.8,0,0,50,0.2095,0.2088605,0.03301,1.98074,0.41266
,,,,,,,,,,,,,,
27-Oct-16,4,MYCA,,UR0095,5.3,5.1,0,0,50,0.2095,0.2090917,0.02108,1.26464,0.24797
,,,,,,,,,,,,,,
17-Oct-15,3,MYLU,M,UR0397,5.9,5.5,35,33.95,100,0.2092093,0.2074448,0.18217,10.93037,1.85261
,,,,,,,,,,,,,,
17-Oct-15,3,MYLU,M,UR0397,5.9,5.5,8,7.61,49.2,0.2092691,0.2091683,0.00512,0.30733,0.05588
,,,,,,,,,,,,,,
17-Oct-15,3,MYLU,M,UR0397,5.9,5.5,4,4.11,48.1,0.2089387,0.2088677,0.00353,0.21168,0.03849
,,,,,,,,,,,,,,
17-Oct-15,3,MYLU,M,UR0397,5.9,5.5,2,3.1,48.4,0.2094782,0.2090041,0.02369,1.42167,0.25848
,,,,,,,,,,,,,,
4-Oct-16,1,MYVO,,WCS471,8.1,7.6,35,8,100,0.2095,0.1957772,1.4168,85.00818,10.49484
,,,,,,,,,,,,,,
22-Oct-16,4,MYVO,,UR1831,8.3,8,35,35,100,0.2095,0.2059087,0.37078,22.24691,2.68035
,,,,,,,,,,,,,,
22-Oct-16,4,MYVO,,UR1831,8.3,8,6,6,50,0.2095,0.2093774,0.00633,0.37973,0.04747
,,,,,,,,,,,,,,
22-Oct-16,4,MYVO,,UR1831,8.3,8,4,4,50,0.2095,0.2094314,0.00354,0.21248,0.02656
,,,,,,,,,,,,,,
17-Oct-15,2,MYYU,F,UR0940,5.9,5.6,35,35,100,0.2095,0.20829,0.15283,9.16968,1.55418
,,,,,,,,,,,,,,
17-Oct-15,4,MYYU,F,UR0948,6.3,5.8,35,35.53,101.5,0.2092293,0.2071139,0.22168,13.30056,2.1112
,,,,,,,,,,,,,,
18-Oct-15,3,MYYU,M,UR0947,5.6,5.4,35,36.25,100,0.2095002,0.2080355,0.15122,9.07322,1.62022
,,,,,,,,,,,,,,
18-Oct-15,4,MYYU,M,UR0245,5.3,5.2,35,36.19,100,0.2095866,0.208012,0.16257,9.75428,1.84043
,,,,,,,,,,,,,,
19-Oct-15,3,MYYU,F,UR0926,4.9,4.6,35,36.15,98.6,0.2086238,0.2064487,0.22139,13.28337,2.71089
,,,,,,,,,,,,,,
19-Oct-15,4,MYYU,F,UR0936,5.5,5.1,35,35.88,100,0.2082613,0.2064295,0.18908,11.34481,2.06269
,,,,,,,,,,,,,,
20-Oct-15,2,MYYU,M,UR0941,5.6,4.8,35,35,102,0.2095,0.2082191,0.16501,9.90066,1.76797
,,,,,,,,,,,,,,
20-Oct-15,3,MYYU,M,UR0939,6.2,5.9,35,35.28,100,0.2091628,0.207133,0.20955,12.57317,2.02793
,,,,,,,,,,,,,,
21-Oct-15,1,MYYU,F,UR0354,5.2,4.9,35,35,100,0.2095,0.2083482,0.14549,8.72962,1.67877
,,,,,,,,,,,,,,
